Nom_atelier,type_atelier,annee,lieu_thatcamp,geoloc,Auteurs,Genre,Statuts,poste_temporaire,Fonction,Forme_interrogative,Institutions,Ville,keywords,liens_atelier,observations
How’s changing the writing of history ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Julia Schreiner,,,,,,,,,,
Collaborative Research Practice / Platforms ,THATCamp,2011,Lausanne,"46.521739, 6.580182",Francesco Beretta,M,CR,,,,,,,,
Metadata ,THATCamp,2011,Lausanne,"46.521739, 6.580182","Seth van Hooland
",,Associate Professor,,,,,,,,http://homepages.ulb.ac.be/~svhoolan/
DH Project Management,THATCamp,2011,Lausanne,"46.521739, 6.580182",Radu Suciu,,,,,,,,,,
Information Literacy,THATCamp,2011,Lausanne,"46.521739, 6.580182",Jan Baumann,,,,,,,,,,
Zotero/Litlink,THATCamp,2011,Lausanne,"46.521739, 6.580182",Jan Baumann,,,,,,,,,,
Humanities methods,THATCamp,2011,Lausanne,"46.521739, 6.580182",Emre,,,,,,,,,,
Knowledge Organization and Representation,Bootcamp,2011,Lausanne,"46.521739, 6.580182",Stefan A. Keller,M,,,,,,,,,
Introduction to Digital Information Literacy,Bootcamp,2011,Lausanne,"46.521739, 6.580182",Peter Haber,,,,,,,,,,
Swiss Digital Historical Landscape : Spotlights,Bootcamp,2011,Lausanne,"46.521739, 6.580182",Marco Majoleth;Enrico Natale,,,,,,,,,,
Individual Digital Preservation. Mails and Pictures,Bootcamp,2011,Lausanne,"46.521739, 6.580182",Alexandre Garcia,M,,,,,,,,,
Bibliographical Management Software. Zotero,Bootcamp,2011,Lausanne,"46.521739, 6.580182",Frédéric Clavert,M,chercheur,,,,,,,,
"Science blogging for digital humanists
 Who ? Why ? When ? Where ? and…. How?",Bootcamp,2011,Lausanne,"46.521739, 6.580182",Mareike König;Pierre Mounier;Aurélien Berra,,"
CR;PRCE;MCF",,,,,,,,
"Social Media for Scientific Research
 Social Bookmarking, Twitter, Facebook",Bootcamp,2011,Lausanne,"46.521739, 6.580182",René Schneider,,,,,,,,,,
"The Future of the digital Archives 
 Accessing genuine computer sources  by “Emulation”",Bootcamp,2011,Lausanne,"46.521739, 6.580182",Patrick Kammerer,,,,,,,,,,
Analyse visuelle de réseaux pour les sciences humaines et sociales,Bootcamp,2012,Paris,"48.857730, 2.352055",Paul Girard;Tommaso Venturini,M;M,IR;MCF,,,,Sciences Po,Paris,,,
Hacker les sources XML-TEI d’une revue de sciences humaines pour analyser son corpus d’articles avec la plateforme TXM,Bootcamp,2012,Paris,"48.857730, 2.352055",Serge Heiden;Alexis Lavrentiev,M;M,IR;IR,,,,,,,,
The Hacking Humanist. A modest introduction into Python,Bootcamp,2012,Paris,"48.857730, 2.352055",Lars Wieneke,,chercheur,,,,,,,,Statut : Researcher at Centre Virtuel de la Connaissance sur l’Europe
L’historien programmeur,,2012,Paris,"48.857730, 2.352055",Frédéric Clavert;Aurélien Berra;Franziska Heimburger,M;M;F,chercheur;MCF;ATER,oui;non;oui,,NON,CNRS;Paris Ouest;EHESS,Paris,,,
Diffusion des sciences humaines vers un public plus large : panorama des outils de médiation numériques,,2012,Paris,"48.857730, 2.352055",Isabelle Jouve;Lars Wieneke,"F;M
",NULL;chercheur,,,NON,,,,,Statut : est-ce la bonne personne ? https://www.linkedin.com/profile/view?id=9454570&authType=name&authToken=A6wI Citée sur la page linkedin de Lars Wieneke
Comment écrire pour un carnet de recherche ?,,2012,Paris,"48.857730, 2.352055",Pierre Mounier,M,PRCE,,,OUI,,,,,
Rôle et enjeu du design graphique,,2012,Paris,"48.857730, 2.352055",Nicolas Thély;David-Olivier Lartigaud;Gilles Rouffineau,M;M;M,PR;PR;PR,,,NON,,,,,
Formations et humanités numériques en France,,2012,Paris,"48.857730, 2.352055",Aurélien Berra;Florence Clavaud,M;F,MCF;conservateur en chef du patrimoine,,,NON,,,,,
Quels outils numériques au service de la représentation,,2012,Paris,"48.857730, 2.352055",Cécile Armand,"F
",doctorant,,,NON,,,,,
Ouverture des données en SHS,,2012,Paris,"48.857730, 2.352055",Elifsu Sabuncu;Antoine Blanchard;Cynthia Pedroja;Anne-Laure Stérin,"F;M;F;F
","post-doc;entrepreuneur;IE;juriste
",,,NON,,,,,
Mémoire et archivage du Web,,2012,Paris,"48.857730, 2.352055",Frédéric Clavert;Clément Oury,M;M,chercheur,,,NON,,,,,
"Comment commencer, poursuivre et pérenniser une revue en ligne?",,2012,Paris,"48.857730, 2.352055",Paul-Henri Giraud,M,PR,,,OUI,,,,,
"Les réseaux sociaux numériques de chercheurs en SHS : pour qui, pour quoi, comment?",,2012,Paris,"48.857730, 2.352055",Nicolas De Lavergne,M,IE,,,OUI,,,,,
Utilisons RDFa pour nos corpus,,2012,Paris,"48.857730, 2.352055",Stéphane Pouyllau,M,IR,non,"
",NON,CNRS,Paris,,,
Quelles compétences et littératies pour les DH ?,,2012,Paris,"48.857730, 2.352055",Olivier Le Deuff;Aurélien Berra,M;M,MCF;MCF,,,OUI,?;Paris Ouest,Nanterre,,,
Editeurs SHS et Digital Humanities,,2012,Paris,"48.857730, 2.352055",Marion Colas;Maria Vlachou,"F;F
",,,,NON,,,,,
(re)travailler ses données avec Google-refine,,2012,Paris,"48.857730, 2.352055",Sylvain Machefert,M,,,,NON,,,,,
initiation à Processing,BootCamp,2013,Saint-Malo,"48.649684, -2.023304",Robin de Mourat,M,"Université Rennes 2, équipe Arts : Pratiques et  Poétiques, enseignant Master Arts et Technologie numérique.",,,,,,,,
Formation à l’usage des carnets de recherche : quelques fonctions avancées de la plateforme Hypothèses,BootCamp,2013,Saint-Malo,"48.649684, -2.023304",Aurélien Berra,M,"MCF
",non,,,Paris Ouest,Nanterre,,,
Quel nom pour les Humanités Numériques/Digitales ?,,2013,Saint-Malo,"48.649684, -2.023304",Aurélien Berra,M,"MCF
",non,,OUI,Paris Ouest,Nanterre,,,
Découverte de l’environnement d’un FabLab,BootCamp,2013,Saint-Malo,"48.649684, -2.023304",Thomas Meghe;Erwan Mahé,M;M,étudiant;PR,oui;non,,NON,"Université Rennes 2, Master Arts et technologie numérique; école européenne supérieure d’art de Bretagne, atelier Design et pratique numérique (LabFab)",,,,
Création d’une association francophone des Humanités Numériques,,2013,Saint-Malo,"48.649684, -2.023304",Frédéric Clavert,M,IR,oui,,NON,CNRS,,,,
Questions professionnelles liées aux Humanités Numériques,,2013,Saint-Malo,"48.649684, -2.023304",Pierre Mounier,M,PRCE,non,,NON,EHESS,Paris,,,
Hyphe : outil de création et d’analyse de corpus web,,2013,Saint-Malo,"48.649684, -2.023304",Paul Girard,M,IR,,,NON,,,,,
"Open data, open access : open humanities",,2013,Saint-Malo,"48.649684, -2.023304",Pierre Mounier;Alexandre Serres,M;M,PRCE,non;?,,NON,EHESS;URFIST,Paris;Rennes,,,
Le projet de Bruno Latour “Enquête sur les Modes d’Existence”,,2013,Saint-Malo,"48.649684, -2.023304",Paul Girard;Christophe Leclercq,M;M,IR;doctorant,,,NON,,,,,
Comment valoriser les HN : utilisation de Wikipedia et sélection des meilleurs ouvrages,,2013,Saint-Malo,"48.649684, -2.023304",Elifsu Sabuncu;Martin Grandjean,"F;M
",entrepreneur;doctorant,,,NON,,,,,
Graphisme programmé et éditions paramétriques,,2013,Saint-Malo,"48.649684, -2.023304",Damien Baïs;Johann Aussage,M;M,,,,NON,,,,,
Sémantisation des données culturelles,,2013,Saint-Malo,"48.649684, -2.023304",Virginie Pringuet;Antoine Courtin,"F;M
",,,,NON,,,,,
Les coulisses d’une recherche en cours / outils et méthodes,,2013,Saint-Malo,"48.649684, -2.023304",Camille Bosqué;Alexandre Dupont,"F;M
",,,,NON,,,,,
Design et outils sémantiques,,2013,Saint-Malo,"48.649684, -2.023304",Alexis Chazard,M,,,,NON,,,,,
Les Humanités Numériques dans une unité de recherche en histoire,,2013,Saint-Malo,"48.649684, -2.023304",Aurélie Hess;Martine Cocaud,"F;M
",,,,NON,,,,,
Bibliothèques et Humanités Numériques,,2013,Saint-Malo,"48.649684, -2.023304",Olivier Le Deuff,M,MCF,,,NON,,,,,
Archéologie de l’édition électronique,,2013,Saint-Malo,"48.649684, -2.023304",Pierre Braun;Gilles Rouffineau;Nicolas Larrousse,M;M;M,NULL;PR;IR,,,NON,,,,,
Les centres de ressources dédiés aux humanités numériques,,2013,Saint-Malo,"48.649684, -2.023304",Johann Holland,M,IE,,,NON,,,,,
Les fractures numériques,,2013,Saint-Malo,"48.649684, -2.023304",Frédéric Clavert,M,IR,,,NON,,,,,
Visualiser les données issues du web avec un logiciel SIG,BootCamp,2014,Lyon,"45.763225, 4.830486",Francesco Beretta;Charlotte Butez,M;F,CR,,,NON,ISH;ISH,Lyon;Lyon,,http://thatcamp69.hypotheses.org/108,
Enjeux de la numérisation : le cas des cartes de la Résistance et de la souffrance,BootCamp,2014,Lyon,"45.763225, 4.830486",Vincent Auzas;Rémy Besson;Michaël Bourgatte;Valérie Hugonnard,M;M;M;F,chercheur;doctorant;MCF,,,NON,IHTP;LLA-CREATIS;Institut Catholique de Paris;IHTP,Paris;Toulouse;Paris;Paris,,http://thatcamp69.hypotheses.org/108,
Création de corpus Web avec Hyphe,BootCamp,2014,Lyon,"45.763225, 4.830486",Paul Girard;Mathieu Jacomy,M;M,IR;IR,,,NON,SciencesPo;SciencesPo,Paris;Paris,,http://thatcamp69.hypotheses.org/108,
Humanités numériques et bibliothèques ; quelle formations proposées ?,THATCamp,2014,Lyon,"45.763225, 4.830486",Olivier Le Deuff,M,MCF,,,OUI,Mica,Bordeaux,,https://thatcamplyon.titanpad.com/1,
Enquête sur les modes d’existence : 1 an après,THATCamp,2014,Lyon,"45.763225, 4.830486",Paul Girard,M,IR,,,NON,SciencesPo,Paris,,https://thatcamplyon.titanpad.com/3,
Vers un nouveau manifeste des humanités numériques/digitales,THATCamp,2014,Lyon,"45.763225, 4.830486",Johann Holland;Martin Grandjean,M;M,IE;doctorant,oui;,,NON,Université de Technologie de Compiègne;UNIL,Compiègne;Lausanne,,https://thatcamplyon.titanpad.com/2,
L’analyse visuelle de réseau avec Gephi et Tubemynet,BootCamp,2014,Lyon,"45.763225, 4.830486",Paul Girard;Mathieu Jacomy,M;M,IR;IR,,,NON,SciencesPo;SciencesPo,Paris;Paris,,http://thatcamp69.hypotheses.org/108,
GEPHI et ses algorithmes,THATCamp,2014,Lyon,"45.763225, 4.830486",Mathieu Jacomy,M,IR,,,NON,SciencesPo,Paris,,https://thatcamplyon.titanpad.com/5,
Evaluation des projets scientifiques en Humanités numériques,THATCamp,2014,Lyon,"45.763225, 4.830486",Nicolas Thély,M,PU,,,NON,Université Rennes 2,Rennes,,https://thatcamplyon.titanpad.com/4,
Modélisation des données dans les projets DH,THATCamp,2014,Lyon,"45.763225, 4.830486",Francesco Beretta;Paul Girard,M;M,CR;IR,,,NON,ISH;SciencesPo,Lyon;Paris,,https://thatcamplyon.titanpad.com/7,
Quel avenir pour les THATCamp ?,THATCamp,2014,Lyon,"45.763225, 4.830486",Frédéric Clavert,M,IR,oui,,OUI,IRICE,Paris,,https://thatcamplyon.titanpad.com/6,
Vers une cite des humanités numériques,THATCamp,2014,Lyon,"45.763225, 4.830486",Johann Holland,M,IE,oui,,NON,Université de Technologie de Compiègne,Compiègne,,https://thatcamplyon.titanpad.com/8,
Dataviz et SHS quel rôle pour l’architecte de l’information,THATCamp,2014,Lyon,"45.763225, 4.830486",Master architecture de l'information,X,Master,np,,NON,ENS,Lyon,,https://thatcamplyon.titanpad.com/9,
Pour une revue francophone en humanités numériques : quel modèle éditorial ?,THATCamp,2014,Lyon,"45.763225, 4.830486",Aurélien Berra,M,MCF,non,,OUI,Paris Ouest,Nanterre,,https://thatcamplyon.titanpad.com/10,
Discussion autour de « The History Manifesto »,THATCamp,2014,Lyon,"45.763225, 4.830486",Frédéric Clavert,M,IR,oui,,NON,IRICE,Paris,,https://thatcamplyon.titanpad.com/11,
Programmation Python,THATCamp,2014,Lyon,"45.763225, 4.830486",Amirouche Boubekki,M,NULL,,,NON,CLEO,,,https://thatcamplyon.titanpad.com/12,
HN accessibles à tous,THATCamp,2015,Paris,"48.857730, 2.352038",Vanessa Juloux,F,IR,,,NON,,,,,
Plateforme PREVU,THATCamp,2015,Paris,"48.857730, 2.352038",Isabelle Breuil,F,conservateur des bibliothèques,,,NON,Paris 8,,,,
Prospero Marlowe,THATCamp,2015,Paris,"48.857730, 2.352038",Josquin Debaz,M,IR,,,NON,,,,,
Ontologie des relations entre entités animées,THATCamp,2015,Paris,"48.857730, 2.352038",Vanessa Juloux,F,IR,,,NON,,,,,
Offres d’emploi Digital humanities,THATCamp,2015,Paris,"48.857730, 2.352038",Solène Roulet;Sophie Pène;Frédéric Clavert,F;F;M,;PR;IR,,,NON,,,,,
Corpus Web + Hyphe v2,THATCamp,2015,Paris,"48.857730, 2.352038",Paul Girard;Benjamin Ooghe;Cynthia Pedroja;Anne L'Hôte,M;M;F;F,IR;IR;IR;IR,,,NON,SciencesPo;SciencesPo;SciencesPo;SciencesPo,Paris;Paris;Paris;Paris,,,
Définir le champ de l’histoire publique numérique,THATCamp,2015,Paris,"48.857730, 2.352038",Serge Noiret,M,bibliothécaire,,,NON,,,,,Statut : ? statut européen à traduire http://www.eui.eu/Documents/AboutEUI/Organization/EmployeesUnion/AssembleeNew/WGPromotionsAnnex.pdf
Ontologie pour la description des archives,THATCamp,2015,Paris,"48.857730, 2.352038",Florence Clavaud,F,conservateur en chef du patrimoine,,,NON,Archives nationales de France,Pierrefite Sur Seine,,,
Méthodologies numériques pour mieux former,THATCamp,2015,Paris,"48.857730, 2.352038",Fatiha Idmhand;Sofia Papastamkou,F;F,MCF;IE,";oui
",,NON,Université du Littoral;MESHS,Boulogne Sur Mer/Dunkerque;Lille,,,
"Communauté Arts, Design et Humanités numériques",THATCamp,2015,Paris,"48.857730, 2.352038",Nicolas Thély;Clarisse Bardiot;Stéphane Vial;Yves Rinato,M;F;M;M,PR;MCF;MCF;PAST,,,NON,,,,http://tcp.hypotheses.org/836; http://tcp.hypotheses.org/849; https://mensuel.framapad.org/p/YpTf1gRDjm,
“Je n’ai rien à cacher”,THATCamp,2015,Paris,"48.857730, 2.352038",Natalia Calderón Beltrán,F,,,,NON,,,,,
MOOC BAC humanité numérique,THATCamp,2015,Paris,"48.857730, 2.352038",Sophie Pène,F,PR,,,NON,CRI,,,,
Base de données francophone des outils pour les humanités numériques,THATCamp,2015,Paris,"48.857730, 2.352038",Thibault Clerice,M,,,,NON,,,,,
Pour une histoire longue des humanités numériques,THATCamp,2015,Paris,"48.857730, 2.352038",Olivier Le Deuff,M,MCF,,,NON,,,,,
Schéma de métadonnées pour les images patrimoniales,THATCamp,2015,Paris,"48.857730, 2.352038",Silva Antonio;Juliette Hueber,F;F,IE;IE,,,NON,,,,,
Outil d’annotation vidéo,THATCamp,2015,Paris,"48.857730, 2.352038",Michaël Bourgatte;Laurent Tessier ,M;M,,,,NON,Institut catholique de Paris,Paris,,,
Big Data en SHS + Rekall + Véga,THATCamp,2015,Paris,"48.857730, 2.352038",Francesco Beretta;Clarisse Bardiot;Yves Rinato,M;F;M,CR;MCF;PAST,,,NON,,,,,
« La face cachée des humanités numériques » ? Data sprint : sociologie et culture des THATCamp francophones,THATCamp,2015,Paris,"48.857730, 2.352038",Aurélien Berra,M,MCF,non,,,Université Paris-Ouest,Paris,,,
